,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Sao Tome and Principe","2015","67.5","65.6","69.4","18.3","17.6","18.9","59.0","57.9","60.1","13.7","13.1","14.2"
"Saudi Arabia","2015","74.5","73.2","76.0","18.7","17.6","19.9","64.4","64.0","64.7","13.8","13.3","14.2"
"Senegal","2015","66.7","64.6","68.6","16.8","15.8","17.6","58.3","57.2","59.4","12.6","12","13.1"
"Serbia","2015","75.6","72.9","78.4","19.7","17.9","21.4","67.7","65.7","69.6","15.8","14.4","17"
"Seychelles","2015","73.2","69.1","78.0","19.5","17.0","22.1","65.5","62.4","69.2","15.3","13.2","17.4"
"Sierra Leone","2015","50.1","49.3","50.8","13.0","12.9","13.1","44.4","43.9","44.8","9.8","9.7","9.9"
"Singapore","2015","83.1","80.0","86.1","25.5","22.8","28.0","73.9","71.8","75.9","20.2","18.2","22"
"Slovakia","2015","76.7","72.9","80.2","20.7","18.0","22.9","68.1","65.3","70.9","16.2","14.2","17.9"
"Slovenia","2015","80.8","77.9","83.7","23.6","21.4","25.6","71.1","68.8","73.3","18.2","16.5","19.7"
"Solomon Islands","2015","69.2","67.9","70.8","17.0","16.2","17.9","62.1","61.5","62.9","13.4","12.9","13.9"
"Somalia","2015","55.0","53.5","56.6","16.3","15.8","16.8","47.8","46.6","48.9","11.5","11.1","11.9"
"South Africa","2015","62.9","59.3","66.2","16.6","13.7","18.6","54.4","51.9","56.8","12.3","10.2","13.8"
"South Sudan","2015","57.3","56.1","58.6","16.5","16.0","17.0","49.9","49.0","50.8","12.1","11.8","12.5"
"Spain","2015","82.8","80.1","85.5","25.2","22.9","27.3","72.4","70.6","74.1","19.4","17.8","20.9"
"Sri Lanka","2015","74.9","71.6","78.3","20.7","19.4","21.8","67.0","64.2","69.7","16.3","15.3","17.3"
"Sudan","2015","64.1","62.4","65.9","17.8","17.2","18.4","55.9","54.9","56.9","13.1","12.8","13.5"
"Suriname","2015","71.6","68.6","74.7","19.3","17.6","20.9","63.1","61.4","64.9","14.7","13.7","15.7"
"Swaziland","2015","58.9","56.6","61.1","16.0","14.8","16.9","50.9","49.2","52.5","11.9","11.1","12.7"
